'Date', 'Value'
26/10/2021,1391.63
25/10/2021,1385.40
22/10/2021,1389.24
21/10/2021,1384.77
20/10/2021,1393.80
19/10/2021,1395.33
18/10/2021,1395.53
15/10/2021,1392.70
14/10/2021,1391.85
13/10/2021,1391.91
12/10/2021,1394.80
11/10/2021,1394.09
8/10/2021,1372.73
7/10/2021,1365.99
6/10/2021,1362.82
5/10/2021,1354.63
4/10/2021,1339.54
1/10/2021,1334.89
30/09/2021,1342.06
29/09/2021,1339.21
28/09/2021,1339.31
27/09/2021,1324.99
24/09/2021,1351.17
23/09/2021,1352.76
22/09/2021,1350.68
21/09/2021,1339.84
20/09/2021,1350.48
17/09/2021,1352.64
16/09/2021,1345.87
15/09/2021,1345.83
14/09/2021,1339.70
13/09/2021,1341.43
10/9/2021,1345.31
9/9/2021,1343.98
8/9/2021,1333.61
7/9/2021,1341.90
6/9/2021,1346.39
1/9/2021,1334.65
31/08/2021,1331.47
30/08/2021,1328.14
27/08/2021,1313.20
26/08/2021,1301.12
25/08/2021,1309.55
24/08/2021,1298.74
23/08/2021,1298.86
20/08/2021,1329.43
19/08/2021,1374.85
18/08/2021,1360.94
17/08/2021,1363.09
16/08/2021,1370.96
13/08/2021,1357.05
12/8/2021,1353.05
11/8/2021,1357.79
10/8/2021,1362.43
9/8/2021,1359.86
6/8/2021,1341.45
5/8/2021,1345.55
4/8/2021,1334.74
3/8/2021,1332.44
2/8/2021,1314.22
30/07/2021,1310.05
29/07/2021,1293.60
28/07/2021,1277.07
27/07/2021,1276.93
26/07/2021,1272.71
23/07/2021,1268.83
22/07/2021,1293.67
21/07/2021,1270.79
20/07/2021,1273.29
19/07/2021,1243.51
16/07/2021,1299.31
15/07/2021,1293.92
14/07/2021,1279.91
13/07/2021,1297.54
12/7/2021,1296.30
9/7/2021,1347.14
8/7/2021,1374.68
7/7/2021,1388.55
6/7/2021,1354.79
5/7/2021,1411.13
2/7/2021,1420.27
1/7/2021,1417.08
30/06/2021,1408.55
29/06/2021,1410.04
28/06/2021,1405.81
25/06/2021,1390.12
24/06/2021,1379.72
23/06/2021,1376.87
22/06/2021,1379.97
21/06/2021,1372.63
18/06/2021,1377.77
17/06/2021,1359.92
16/06/2021,1356.52
15/06/2021,1367.36
14/06/2021,1361.72
11/6/2021,1351.74
10/6/2021,1323.58
9/6/2021,1332.90
8/6/2021,1319.88
7/6/2021,1358.78
4/6/2021,1374.05
3/6/2021,1364.28
2/6/2021,1340.78
1/6/2021,1337.78
31/05/2021,1328.05
28/05/2021,1320.46
27/05/2021,1303.57
26/05/2021,1316.70
25/05/2021,1308.58
24/05/2021,1297.98
21/05/2021,1283.93
20/05/2021,1278.22
19/05/2021,1262.49
18/05/2021,1252.68
17/05/2021,1258.70
14/05/2021,1266.36
13/05/2021,1261.99
12/5/2021,1269.09
11/5/2021,1256.04
10/5/2021,1259.58
7/5/2021,1241.81
6/5/2021,1250.57
5/5/2021,1256.43
4/5/2021,1242.20
29/04/2021,1239.39
28/04/2021,1229.55
27/04/2021,1219.75
26/04/2021,1215.77
23/04/2021,1248.53
22/04/2021,1227.82
20/04/2021,1268.28
19/04/2021,1260.58
16/04/2021,1238.71
15/04/2021,1247.25
14/04/2021,1255.87
13/04/2021,1248.33
12/4/2021,1252.45
9/4/2021,1231.66
8/4/2021,1234.89
7/4/2021,1242.38
6/4/2021,1239.96
5/4/2021,1236.05
2/4/2021,1224.45
1/4/2021,1216.10
31/03/2021,1191.44
30/03/2021,1186.36
29/03/2021,1175.68
26/03/2021,1162.21
25/03/2021,1163.10
24/03/2021,1161.81
23/03/2021,1183.45
22/03/2021,1194.43
19/03/2021,1194.05
18/03/2021,1200.94
17/03/2021,1186.09
16/03/2021,1179.90
15/03/2021,1184.56
12/3/2021,1181.56
11/3/2021,1181.73
10/3/2021,1170.08
9/3/2021,1161.97
8/3/2021,1168.27
5/3/2021,1168.69
4/3/2021,1168.52
3/3/2021,1186.95
2/3/2021,1186.61
1/3/2021,1186.17
26/02/2021,1168.47
25/02/2021,1165.43
24/02/2021,1162.01
23/02/2021,1177.64
22/02/2021,1175.04
19/02/2021,1173.50
18/02/2021,1174.38
17/02/2021,1155.78
9/2/2021,1114.93
8/2/2021,1083.18
5/2/2021,1126.91
4/2/2021,1112.19
3/2/2021,1111.29
2/2/2021,1075.53
1/2/2021,1035.51
29/01/2021,1056.61
28/01/2021,1023.94
27/01/2021,1097.17
26/01/2021,1136.12
25/01/2021,1166.05
22/01/2021,1166.78
21/01/2021,1164.21
20/01/2021,1134.68
19/01/2021,1131.00
18/01/2021,1191.94
15/01/2021,1194.20
14/01/2021,1187.40
13/01/2021,1186.05
12/1/2021,1192.28
11/1/2021,1184.89
8/1/2021,1167.69
7/1/2021,1156.49
6/1/2021,1143.21
5/1/2021,1132.55
4/1/2021,1120.47
31/12/2020,1103.87
30/12/2020,1097.54
29/12/2020,1099.49
28/12/2020,1091.33
25/12/2020,1084.42
24/12/2020,1067.52
23/12/2020,1078.90
22/12/2020,1083.45
21/12/2020,1081.08
18/12/2020,1067.46
17/12/2020,1051.77
16/12/2020,1066.99
15/12/2020,1055.27
14/12/2020,1064.09
11/12/2020,1045.96
10/12/2020,1030.91
9/12/2020,1039.13
8/12/2020,1029.26
7/12/2020,1029.98
4/12/2020,1021.49
3/12/2020,1019.80
2/12/2020,1014.32
1/12/2020,1008.87
30/11/2020,1003.08
27/11/2020,1010.22
26/11/2020,1005.97
25/11/2020,999.94
24/11/2020,995.76
23/11/2020,994.19
20/11/2020,990.00
19/11/2020,983.26
18/11/2020,973.53
17/11/2020,968.90
16/11/2020,950.79
13/11/2020,966.29
12/11/2020,959.28
11/11/2020,952.22
10/11/2020,951.90
9/11/2020,951.99
6/11/2020,938.29
5/11/2020,937.75
4/11/2020,939.76
3/11/2020,935.41
2/11/2020,933.68
30/10/2020,925.47
29/10/2020,919.08
28/10/2020,921.05
27/10/2020,946.47
26/10/2020,950.80
23/10/2020,961.26
22/10/2020,949.90
21/10/2020,939.03
20/10/2020,944.42
19/10/2020,943.69
16/10/2020,943.30
15/10/2020,942.76
14/10/2020,940.18
13/10/2020,929.86
12/10/2020,925.83
9/10/2020,924.00
8/10/2020,918.84
7/10/2020,919.72
6/10/2020,915.67
5/10/2020,914.68
2/10/2020,909.91
1/10/2020,914.09
30/09/2020,905.21
29/09/2020,903.98
28/09/2020,912.50
25/09/2020,908.27
24/09/2020,908.58
23/09/2020,912.50
22/09/2020,906.19
21/09/2020,907.94
18/09/2020,900.95
17/09/2020,894.04
16/09/2020,897.47
15/09/2020,896.26
14/09/2020,894.57
11/9/2020,888.97
10/9/2020,888.82
9/9/2020,889.32
8/9/2020,890.14
7/9/2020,888.25
4/9/2020,901.54
3/9/2020,903.97
